Story,Label,UniqueName,Section,Location,Moment negative,Combo,As Top,Moment positive,Combo,As Bot
Story4,B3,173,CB-12 40x60,End-I,-1730550.17,10) 1.1CMT+1.1CVI-.33SDX-1.1SDY,8.42,463099.56,10) 1.1CMT+1.1CVI-.33SDX-1.1SDY,2.9
Story1,B5,76,CB-12 40x60,End-I,-1727520.55,6) 1.1CMT+1.1CVI-.33SDY-1.1SDX,8.4,486992.65,6) 1.1CMT+1.1CVI-.33SDY-1.1SDX,3.05
Story3,B5,77,CB-12 40x60,End-J,-1697438.68,6) 1.1CMT+1.1CVI-.33SDY-1.1SDX,8.25,409555.52,6) 1.1CMT+1.1CVI-.33SDY-1.1SDX,2.56
Story4,B7,170,CB-12 40x60,End-I,-1682844.43,10) 1.1CMT+1.1CVI-.33SDX-1.1SDY,8.17,430106.16,10) 1.1CMT+1.1CVI-.33SDX-1.1SDY,2.69
Story4,B7,170,CB-12 40x60,End-J,-1671079.96,10) 1.1CMT+1.1CVI-.33SDX-1.1SDY,8.11,433731,10) 1.1CMT+1.1CVI-.33SDX-1.1SDY,2.71
Story4,B3,173,CB-12 40x60,End-J,-1665704.22,10) 1.1CMT+1.1CVI-.33SDX-1.1SDY,8.09,479956.64,10) 1.1CMT+1.1CVI-.33SDX-1.1SDY,3.01
Story3,B5,77,CB-12 40x60,End-I,-1663895.84,6) 1.1CMT+1.1CVI-.33SDY-1.1SDX,8.08,437654.77,6) 1.1CMT+1.1CVI-.33SDY-1.1SDX,2.74
Story4,B9,167,CB-12 40x60,End-J,-1640104,6) 1.1CMT+1.1CVI-.33SDY-1.1SDX,7.95,413377.9,6) 1.1CMT+1.1CVI-.33SDY-1.1SDX,2.59
Story4,B10,166,CB-12 40x60,End-J,-1584675.79,6) 1.1CMT+1.1CVI-.33SDY-1.1SDX,7.67,399292.29,6) 1.1CMT+1.1CVI-.33SDY-1.1SDX,2.5
Story4,B4,172,CB-12 40x60,End-J,-1582191.54,6) 1.1CMT+1.1CVI-.33SDY-1.1SDX,7.66,355032.34,6) 1.1CMT+1.1CVI-.33SDY-1.1SDX,2.22
Story4,B10,166,CB-12 40x60,End-I,-1554576.05,6) 1.1CMT+1.1CVI-.33SDY-1.1SDX,7.52,389034.52,6) 1.1CMT+1.1CVI-.33SDY-1.1SDX,2.43
Story4,B4,172,CB-12 40x60,End-I,-1451506.24,6) 1.1CMT+1.1CVI-.33SDY-1.1SDX,7,335286.99,6) 1.1CMT+1.1CVI-.33SDY-1.1SDX,2.09
Story4,B5,171,CB-12 40x60,End-J,-1398400.13,6) 1.1CMT+1.1CVI-.33SDY-1.1SDX,6.74,295262.12,6) 1.1CMT+1.1CVI-.33SDY-1.1SDX,1.84
Story4,B5,171,CB-12 40x60,End-I,-1335710.06,6) 1.1CMT+1.1CVI-.33SDY-1.1SDX,6.42,339353.29,6) 1.1CMT+1.1CVI-.33SDY-1.1SDX,2.12
Story2,B10,63,CB-12 40x60,Middle,-190712.06,12) .9CMT+1.1SDX,1.19,1029918.75,2) 1.3CMT+1.5CVM,6.03
Story2,B9,66,CB-12 40x60,Middle,-180606.81,12) .9CMT+1.1SDX,1.12,1272617.37,2) 1.3CMT+1.5CVM,6.11
Story1,B10,61,CB-12 40x60,Middle,-155582.59,12) .9CMT+1.1SDX,0.97,1034859.57,2) 1.3CMT+1.5CVM,6.03
Story1,B9,64,CB-12 40x60,Middle,-147113.56,12) .9CMT+1.1SDX,0.91,1275966.04,2) 1.3CMT+1.5CVM,6.13
Story2,B7,75,CB-12 40x60,Middle,-145490.15,10) 1.1CMT+1.1CVI-.33SDX-1.1SDY,0.9,971334.98,2) 1.3CMT+1.5CVM,6.03
Story3,B10,62,CB-12 40x60,Middle,-120907.06,12) .9CMT+1.1SDX,0.75,1024461.91,2) 1.3CMT+1.5CVM,6.03
Story3,B7,74,CB-12 40x60,Middle,-119153.15,13) .9CMT+1.1SDY,0.74,967600.74,2) 1.3CMT+1.5CVM,6.03
